SAG_TYPE,Sr No.,FileName,#Contracts,#Functions,FunctionID,#Variables,#Overhead,#Dead_nodes,EN,EX,RC,CV,SPV,NP,Time,OGR Size,SA OBJ Size
dsa,_,"-""-",-,-,4,4,3,1,0,0,0,0,0,3,329500000,1127088,1080
dsa,_,"-""-",-,-,5,4,2,0,0,0,0,0,0,2,300300000,1127088,920
dsa,_,"-""-",-,-,6,4,2,0,0,0,0,0,0,2,266600000,1127088,871
dsa,_,"-""-",-,-,7,4,2,0,0,0,0,0,0,2,602200000,1127088,865
dsa,_,"-""-",-,-,8,3,2,0,0,0,0,0,0,2,767100000,1127088,812
dsa,_,"-""-",-,-,9,3,0,0,0,0,0,0,0,0,168700000,1127088,530
dsa,_,"-""-",-,-,10,6,6,0,0,0,0,0,0,6,542100000,1127088,1463
dsa,_,"-""-",-,-,11,4,6,0,0,0,0,0,0,6,936100000,1127088,1379
dsa,_,"-""-",-,-,12,5,0,0,0,0,0,0,0,0,391000000,1127088,825
dsa,_,"-""-",-,-,13,4,6,5,0,0,0,0,0,6,661400000,1127088,1767
dsa,3,t2,1,9,0,4,2,2,0,0,0,0,0,2,322800000,1050560,1080
dsa,_,"-""-",-,-,1,3,4,0,0,0,0,0,0,4,283000000,1050560,967
dsa,_,"-""-",-,-,2,4,4,3,0,0,0,0,0,4,496400000,1050560,1475
dsa,_,"-""-",-,-,3,4,4,0,0,0,0,0,0,4,367400000,1050560,1139
dsa,_,"-""-",-,-,4,4,4,0,0,0,0,0,0,4,361300000,1050560,1134
dsa,_,"-""-",-,-,5,4,4,0,0,0,0,0,0,4,349300000,1050560,1135
dsa,_,"-""-",-,-,6,4,5,1,0,0,0,0,0,5,512800000,1050560,1364
dsa,_,"-""-",-,-,7,4,0,0,0,0,0,0,0,0,326800000,1050560,932
dsa,_,"-""-",-,-,8,4,0,0,0,0,0,0,0,0,247600000,1050560,838
dsa,4,t3,1,10,0,5,3,1,0,0,0,0,0,3,319500000,1336592,1089
dsa,_,"-""-",-,-,1,5,2,2,0,0,0,0,0,2,369400000,1336592,1209
dsa,_,"-""-",-,-,2,3,0,0,0,0,0,0,0,0,279000000,1336592,871
dsa,_,"-""-",-,-,3,4,4,2,0,0,0,0,0,4,445000000,1336592,1386
dsa,_,"-""-",-,-,4,4,2,2,0,0,0,0,0,2,390700000,1336592,1183
dsa,_,"-""-",-,-,5,3,2,2,0,0,0,0,0,2,363900000,1336592,1143
dsa,_,"-""-",-,-,6,3,4,4,0,0,0,0,0,4,416400000,1336592,1361
dsa,_,"-""-",-,-,7,3,4,4,0,0,0,0,0,4,449300000,1336592,1310
dsa,_,"-""-",-,-,8,3,2,6,0,0,0,0,0,2,362500000,1336592,1312
dsa,_,"-""-",-,-,9,3,4,6,0,0,0,0,0,4,440200000,1336592,1627
dsa,5,t4,1,6,0,4,2,2,0,0,0,0,0,2,337900000,1228400,1146
dsa,_,"-""-",-,-,1,3,4,0,0,0,0,0,0,4,374000000,1228400,977
dsa,_,"-""-",-,-,2,4,2,2,0,0,0,0,0,2,399000000,1228400,1227
dsa,_,"-""-",-,-,3,3,0,0,0,0,0,0,0,0,258700000,1228400,937
dsa,_,"-""-",-,-,4,3,0,0,0,0,0,0,0,0,284100000,1228400,1047
dsa,_,"-""-",-,-,5,4,0,0,0,0,0,0,0,0,309100000,1228400,1105
dsa,6,t5,1,6,0,3,2,2,0,0,0,0,0,2,306200000,1541224,1139
dsa,_,"-""-",-,-,1,4,1,1,0,0,0,0,0,1,311500000,1541224,1055
dsa,_,"-""-",-,-,2,3,5,1,0,0,0,0,0,5,405000000,1541224,1377
dsa,_,"-""-",-,-,3,6,3,2,0,0,0,0,0,3,617600000,1541224,2041
dsa,_,"-""-",-,-,4,6,4,3,0,0,0,0,0,4,807700000,1541224,1994
dsa,_,"-""-",-,-,5,3,5,1,0,0,0,0,0,5,518000000,1541224,1782
dsa,7,t6,1,5,0,6,10,15,0,0,0,0,0,10,882300001,1871984,2720
dsa,_,"-""-",-,-,1,6,8,17,0,0,0,0,0,8,1077400000,1871984,2723
dsa,_,"-""-",-,-,2,6,12,3,0,0,0,0,0,12,484400000,1871984,1478
dsa,_,"-""-",-,-,3,4,6,1,0,0,0,0,0,6,568800000,1871984,1598
dsa,_,"-""-",-,-,4,6,0,0,0,0,0,0,0,0,549900000,1871984,1388
dsa,8,t7,1,3,0,6,10,15,0,0,0,0,0,10,801900000,1894552,2557
dsa,_,"-""-",-,-,1,6,20,13,0,0,0,0,0,20,1273700000,1894552,3429
dsa,_,"-""-",-,-,2,4,21,5,0,0,0,0,0,21,1320100000,1894552,3176
dsa,9,t8,1,6,0,3,0,0,0,0,0,0,0,0,114800000,1871672,524
dsa,_,"-""-",-,-,1,4,0,0,0,0,0,0,0,0,280100000,1871672,883
dsa,_,"-""-",-,-,2,5,2,0,0,0,0,0,0,2,222200000,1871672,824
dsa,_,"-""-",-,-,3,3,0,0,0,0,0,0,0,0,200900000,1871672,726
dsa,_,"-""-",-,-,4,5,1,1,0,0,0,0,0,1,277300000,1871672,1014
dsa,_,"-""-",-,-,5,3,0,0,0,0,0,0,0,0,151200000,1871672,635
dsa,10,t9,1,4,0,4,6,4,0,0,0,0,0,6,516500000,2177344,1842
dsa,_,"-""-",-,-,1,4,9,4,0,0,0,0,0,9,732300000,2177344,2196
dsa,_,"-""-",-,-,2,5,8,6,0,0,0,0,0,8,796300000,2177344,2424
dsa,_,"-""-",-,-,3,4,4,3,0,0,0,0,0,4,865400000,2177344,1471
SAG_TYPE,Sr No.,FileName,#Contracts,#Functions,FunctionID,#Variables,#Overhead,#Dead_nodes,EN,EX,RC,CV,SPV,NP,Time,OGR Size,SA OBJ Size
ssa,1,t0,1,11,0,3,1,1,0,0,6,0,0,1,231500000,696472,916
ssa,_,"-""-",-,-,1,3,0,1,0,0,6,0,0,0,216100000,696472,771
ssa,_,"-""-",-,-,2,3,1,1,0,0,6,0,0,1,236400000,696472,857
ssa,_,"-""-",-,-,3,3,1,1,0,0,6,0,0,1,271400000,696472,919
ssa,_,"-""-",-,-,4,3,1,2,0,0,6,0,0,1,296100000,696472,1109
ssa,_,"-""-",-,-,5,3,1,1,0,0,6,0,0,1,274200000,696472,969
ssa,_,"-""-",-,-,6,3,2,3,0,0,12,0,0,2,378500000,696472,1291
ssa,_,"-""-",-,-,7,3,4,1,0,0,12,0,0,4,1498500000,696472,1404
ssa,_,"-""-",-,-,8,3,6,1,0,0,18,0,0,6,1477200000,696472,1739
ssa,_,"-""-",-,-,9,4,2,3,0,0,16,0,0,2,840100000,696472,1204
ssa,_,"-""-",-,-,10,6,3,2,0,0,24,0,0,3,930300000,696472,1354
ssa,2,t1,1,14,0,4,1,3,0,0,12,0,0,1,334900000,1127088,1184
ssa,_,"-""-",-,-,1,4,4,2,0,0,20,0,0,4,483800000,1127088,1423
ssa,_,"-""-",-,-,2,4,3,2,0,0,20,0,0,3,620200000,1127088,1392
ssa,_,"-""-",-,-,3,4,2,2,0,0,12,0,0,2,363000000,1127088,1138
ssa,_,"-""-",-,-,4,4,2,2,0,0,12,0,0,2,386400000,1127088,1079
ssa,_,"-""-",-,-,5,4,2,0,0,0,4,0,0,2,252300000,1127088,926
ssa,_,"-""-",-,-,6,4,2,0,0,0,4,0,0,2,251500000,1127088,877
ssa,_,"-""-",-,-,7,4,2,0,0,0,4,0,0,2,221500000,1127088,871
ssa,_,"-""-",-,-,8,3,2,0,0,0,3,0,0,2,219100000,1127088,817
ssa,_,"-""-",-,-,9,3,0,0,0,0,0,0,0,0,193500000,1127088,526
ssa,_,"-""-",-,-,10,6,3,3,0,0,18,0,0,3,519800000,1127088,1512
ssa,_,"-""-",-,-,11,4,3,3,0,0,12,0,0,3,956700000,1127088,1427
